,Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
122,0,43800.0,Бизнес,Вторичный рынок,3,65.0,4,4,0,0,1,1,1,1,1,1,0
123,0,42500.0,Бизнес,Вторичный рынок,2,60.0,4,9,0,0,1,1,1,1,1,1,0
124,1,48500.0,Бизнес,Вторичный рынок,2,60.0,1,4,0,0,1,1,1,1,1,1,0
125,0,38000.0,Бизнес,Вторичный рынок,1,41.0,3,4,0,1,1,1,1,1,1,1,0
126,1,36000.0,Частное лицо,Вторичный рынок,2,46.0,5,9,0,0,1,1,0,1,1,0,0
127,0,39500.0,Бизнес,Вторичный рынок,2,45.0,4,2,1,0,1,1,1,1,1,1,0
128,2,105000.0,Частное лицо,Вторичный рынок,4,79.0,3,4,0,0,1,1,1,1,1,1,0
129,1,52500.0,Бизнес,Вторичный рынок,3,78.0,2,5,0,0,1,1,1,1,1,1,0
130,2,98000.0,Бизнес,Новостройки,3,90.0,5,7,0,0,0,0,0,0,0,0,0
131,1,42000.0,Бизнес,Вторичный рынок,1,35.0,4,5,1,0,0,0,0,0,0,0,0
132,1,82000.0,Бизнес,Новостройки,4,111.0,3,8,0,0,0,0,0,0,0,0,0
133,0,29500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
134,2,27000.0,Бизнес,Вторичный рынок,2,40.0,1,2,1,1,1,1,1,1,1,1,0
135,1,72000.0,Бизнес,Вторичный рынок,4,100.0,1,9,0,0,1,1,1,1,1,1,0
136,1,60000.0,Бизнес,Вторичный рынок,3,70.0,2,5,1,0,0,0,0,0,0,0,0
137,1,81000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
138,0,51000.0,Частное лицо,Вторичный рынок,4,92.0,4,5,0,0,1,1,1,1,1,1,0
139,1,99000.0,Бизнес,Вторичный рынок,5,170.0,4,4,1,0,0,0,0,0,0,0,0
140,1,33000.0,Бизнес,Вторичный рынок,1,30.0,2,5,1,0,0,0,0,0,0,0,0
141,2,55000.0,Бизнес,Новостройки,2,67.0,1,10,0,0,0,0,0,0,0,0,0
142,0,48500.0,Бизнес,Вторичный рынок,3,75.0,2,9,0,0,0,0,0,0,0,0,0
143,1,42000.0,Бизнес,Новостройки,2,48.0,4,7,0,0,0,0,0,0,0,0,0
144,1,75000.0,Бизнес,Вторичный рынок,5,100.0,4,4,1,0,0,0,0,0,0,0,0
145,1,44500.0,Бизнес,Вторичный рынок,3,70.0,8,9,0,0,1,1,1,1,1,1,0
146,0,44500.0,Бизнес,Вторичный рынок,2,54.0,3,4,0,0,1,1,1,1,1,1,0
147,1,52000.0,Бизнес,Вторичный рынок,3,70.0,1,4,0,0,1,1,1,1,1,1,0
148,1,43700.0,Бизнес,Новостройки,2,70.0,7,9,0,0,0,0,0,0,0,0,0
149,1,27800.0,Бизнес,Вторичный рынок,2,42.0,4,4,0,0,1,1,0,1,1,1,0
150,0,59000.0,Бизнес,Вторичный рынок,4,86.0,1,5,0,0,1,1,1,1,1,1,0
151,0,39200.0,Бизнес,Новостройки,2,62.0,3,7,0,0,1,1,1,1,1,1,0
152,1,79500.0,Бизнес,Вторичный рынок,2,60.0,3,4,1,0,0,0,0,0,0,0,0
153,2,61000.0,Частное лицо,Новостройки,2,70.0,1,7,0,0,0,0,0,0,0,0,0
154,1,35555.0,Бизнес,Вторичный рынок,1,30.0,2,4,1,0,0,0,0,0,0,0,0
155,1,57000.0,Бизнес,Вторичный рынок,3,72.0,2,4,0,0,1,1,1,1,1,1,0
156,2,55000.0,Бизнес,Новостройки,3,70.0,2,3,0,0,1,1,1,1,1,1,0
