Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
0,46000.0,Бизнес,Вторичный рынок,3,70.0,1,4,0,0,1,1,1,1,1,1,0
2,78000.0,Бизнес,Вторичный рынок,3,72.0,4,9,1,0,1,1,1,1,1,1,0
1,53000.0,Бизнес,Вторичный рынок,2,54.0,4,4,0,0,1,1,1,1,1,1,0
1,45000.0,Бизнес,Вторичный рынок,2,42.14,2,4,0,0,1,1,1,1,1,1,0
0,35500.0,Бизнес,Вторичный рынок,2,46.0,4,4,0,0,1,1,1,1,1,1,0
0,35500.0,Бизнес,Вторичный рынок,2,48.0,4,4,0,0,1,1,1,1,1,1,0
1,109500.0,Бизнес,Вторичный рынок,3,85.0,4,4,1,1,1,1,1,1,1,1,0
1,98000.0,Бизнес,Новостройки,4,107.0,5,8,1,1,1,1,1,1,1,1,0
2,61500.0,Бизнес,Вторичный рынок,2,65.0,5,9,0,0,1,1,1,1,1,1,0
0,35777.0,Бизнес,Вторичный рынок,2,50.0,4,4,0,0,0,0,0,0,0,0,0
2,85000.0,Бизнес,Вторичный рынок,3,85.23,3,4,1,0,1,1,1,1,1,1,0
1,65000.0,Бизнес,Вторичный рынок,1,50.0,3,4,1,0,1,1,0,0,0,1,0
2,75000.0,Бизнес,Вторичный рынок,3,75.0,4,9,1,1,1,1,1,1,1,1,0
1,63000.0,Бизнес,Вторичный рынок,3,65.0,8,9,1,1,1,1,1,1,1,1,0
2,60000.0,Бизнес,Вторичный рынок,2,65.0,3,5,0,0,1,1,1,1,0,0,0
0,28000.0,Бизнес,Вторичный рынок,1,28.0,1,4,0,0,1,1,1,1,1,1,0
1,23600.0,Бизнес,Новостройки,1,32.0,1,7,0,0,1,1,1,1,1,1,0
1,27000.0,Бизнес,Вторичный рынок,1,42.0,9,9,0,0,1,1,1,1,1,1,0
0,28700.0,Бизнес,Вторичный рынок,1,4.0,4,4,1,1,0,0,0,0,0,0,0
1,90000.0,Бизнес,Новостройки,3,120.0,2,10,0,0,1,1,1,1,1,1,0
1,48000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,1,1,1,1,1,1,1,0
2,95000.0,Бизнес,Вторичный рынок,4,100.0,5,9,1,1,1,1,1,1,1,1,0
0,38000.0,Бизнес,Вторичный рынок,2,50.0,3,4,0,0,1,1,1,1,1,1,0
1,115000.0,Бизнес,Вторичный рынок,4,110.0,3,4,0,0,1,1,1,1,1,1,0
1,53700.0,Частное лицо,Вторичный рынок,3,72.0,3,9,1,0,0,0,0,0,0,0,0
1,50000.0,Частное лицо,Вторичный рынок,4,99.0,6,9,1,0,0,1,0,0,0,1,0
0,45500.0,Бизнес,Вторичный рынок,3,70.0,4,4,0,0,1,1,1,1,1,1,0
2,152000.0,Бизнес,Вторичный рынок,4,135.0,2,4,1,1,1,1,1,1,1,1,0
2,60000.0,Бизнес,Новостройки,3,74.0,6,10,0,0,1,1,1,1,1,1,0
0,28000.0,Бизнес,Вторичный рынок,1,30.0,4,4,1,0,1,1,1,1,1,1,0
1,50000.0,Бизнес,Вторичный рынок,1,45.0,9,9,1,0,1,1,0,0,0,1,0
1,123000.0,Бизнес,Новостройки,2,85.0,2,10,1,1,1,1,1,1,1,1,0
2,100000.0,Бизнес,Вторичный рынок,4,133.0,2,4,0,0,0,0,0,0,0,0,0
0,54500.0,Бизнес,Вторичный рынок,2,52.0,1,4,0,0,1,1,1,1,1,1,0
0,65000.0,Бизнес,Новостройки,3,95.0,2,9,0,0,0,0,0,0,0,0,0
1,45000.0,Бизнес,Вторичный рынок,2,58.0,1,4,0,0,1,1,1,1,1,1,0
1,54500.0,Бизнес,Вторичный рынок,3,77.0,3,5,0,0,0,0,0,0,0,1,0
